epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.23038,2.63374,4.3522,2.22022,0.02538,0.18254,0.0313,0.01471,2.35773,4.65735,1.77541,2.858e-05,2.858e-05,2.858e-05
2,6.6473,2.50473,4.10882,2.14165,0.48934,0.13095,0.08334,0.03773,2.18103,3.88743,1.76124,7.10963e-05,7.10963e-05,7.10963e-05
3,8.21197,2.32293,2.9873,2.05712,0.72113,0.05952,0.02707,0.0122,2.13664,5.74776,1.80091,0.000113188,0.000113188,0.000113188
4,9.63465,2.26624,2.60524,1.95501,0.41118,0.20238,0.05983,0.02352,2.08904,6.05822,1.71806,0.000154856,0.000154856,0.000154856
5,11.1077,2.02876,2.4598,1.80599,0.52285,0.24524,0.14961,0.06214,2.12634,7.48528,1.68123,0.000196099,0.000196099,0.000196099
6,12.5687,1.96815,2.39019,1.68863,0.82063,0.23333,0.2156,0.08058,2.14128,6.50303,1.71593,0.000236917,0.000236917,0.000236917
7,13.9798,1.92205,2.06179,1.72344,0.54477,0.32857,0.21344,0.07732,2.08669,6.16382,1.70763,0.000277312,0.000277312,0.000277312
8,15.2762,1.97393,2.5548,1.72753,0.56611,0.3207,0.21697,0.0788,2.08738,5.72698,1.71,0.000317282,0.000317282,0.000317282
9,16.6469,1.80801,1.93069,1.62112,0.68783,0.23571,0.29977,0.0933,2.02568,3.78058,1.61541,0.000356827,0.000356827,0.000356827
10,18.0232,1.8861,2.04612,1.64639,0.67343,0.379,0.34975,0.11237,1.99911,3.64753,1.61263,0.000395948,0.000395948,0.000395948
11,19.455,1.73944,1.86015,1.53825,0.57081,0.4373,0.32764,0.10956,2.0446,4.67568,1.74432,0.000434645,0.000434645,0.000434645
12,20.805,1.77787,1.88547,1.65424,0.56833,0.36825,0.33166,0.11307,2.08543,2.94369,1.80927,0.000472917,0.000472917,0.000472917
13,22.1315,1.71608,1.88269,1.57202,0.31946,0.43571,0.32335,0.11373,2.09383,2.3629,1.80572,0.000510765,0.000510765,0.000510765
14,23.452,1.65839,1.72879,1.53395,0.6549,0.35238,0.33664,0.11431,2.06556,2.93873,1.81983,0.000548188,0.000548188,0.000548188
15,24.8192,1.7178,1.72785,1.57613,0.56131,0.36553,0.2926,0.1015,2.06792,3.90673,1.80349,0.000585187,0.000585187,0.000585187
16,26.1043,1.64823,1.70749,1.52854,0.47796,0.46349,0.30715,0.11177,2.09133,3.02719,1.853,0.000621761,0.000621761,0.000621761
17,27.4239,1.67429,1.71178,1.49331,0.63817,0.31905,0.31175,0.12024,2.11374,3.02869,1.96654,0.000657912,0.000657912,0.000657912
