epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2741.71,0.88688,0.71092,1.13307,0.7841,0.78821,0.77895,0.57516,0.9082,0.79713,1.05919,0.007921,0.007921,0.007921
44,2803.63,0.88853,0.70989,1.13762,0.79378,0.78144,0.78624,0.58492,0.90043,0.77937,1.0476,0.0078715,0.0078715,0.0078715
45,2866.16,0.884,0.70833,1.13582,0.78456,0.78465,0.77598,0.57576,0.90854,0.7903,1.0519,0.007822,0.007822,0.007822
46,2928.34,0.8876,0.71144,1.13172,0.79159,0.77269,0.78248,0.58064,0.89943,0.78941,1.04624,0.0077725,0.0077725,0.0077725
47,2992.95,0.88423,0.71032,1.13438,0.77617,0.78779,0.78353,0.58435,0.8918,0.78376,1.04464,0.007723,0.007723,0.007723
48,3061.9,0.8868,0.71303,1.134,0.79127,0.78227,0.78451,0.58407,0.89945,0.78284,1.04964,0.0076735,0.0076735,0.0076735
49,3125.58,0.88202,0.71232,1.12971,0.79171,0.76458,0.78801,0.58637,0.90347,0.79169,1.03744,0.007624,0.007624,0.007624
50,3185.17,0.87787,0.70371,1.12601,0.77624,0.75831,0.77795,0.57081,0.90877,0.82076,1.06547,0.0075745,0.0075745,0.0075745
51,3247.41,0.877,0.70033,1.12625,0.77953,0.78283,0.78033,0.57979,0.89387,0.79312,1.04776,0.007525,0.007525,0.007525
52,3310.72,0.87973,0.70144,1.12838,0.78035,0.78235,0.78361,0.58304,0.89571,0.78222,1.0524,0.0074755,0.0074755,0.0074755
53,3372.97,0.87095,0.69026,1.12116,0.76771,0.78612,0.77328,0.5745,0.89419,0.78548,1.0529,0.007426,0.007426,0.007426
54,3436.16,0.86921,0.69049,1.12605,0.78235,0.76751,0.78104,0.58076,0.89333,0.78912,1.04521,0.0073765,0.0073765,0.0073765
55,3497.52,0.86746,0.69579,1.12382,0.78126,0.78716,0.7857,0.57972,0.90527,0.78,1.04344,0.007327,0.007327,0.007327
56,3558.6,0.86753,0.68788,1.12293,0.78077,0.78047,0.78495,0.58474,0.89196,0.77855,1.03778,0.0072775,0.0072775,0.0072775
57,3618.82,0.86177,0.68467,1.12109,0.77793,0.78089,0.78012,0.57819,0.90044,0.78542,1.064,0.007228,0.007228,0.007228
58,3679.23,0.86172,0.68785,1.12059,0.78217,0.78758,0.77877,0.57808,0.89768,0.77863,1.05828,0.0071785,0.0071785,0.0071785
59,3740.13,0.86353,0.67896,1.12256,0.76967,0.78387,0.76531,0.56371,0.90804,0.79947,1.05858,0.007129,0.007129,0.007129
60,3800.27,0.86091,0.68044,1.12171,0.77432,0.7819,0.77721,0.57716,0.89676,0.7857,1.04621,0.0070795,0.0070795,0.0070795
61,3860.8,0.85906,0.67983,1.11975,0.77205,0.77258,0.78051,0.58218,0.9002,0.79287,1.05263,0.00703,0.00703,0.00703
62,3921.82,0.86155,0.67946,1.11913,0.79938,0.7696,0.78009,0.58072,0.89643,0.7777,1.04711,0.0069805,0.0069805,0.0069805
63,3983.62,0.85856,0.68347,1.12199,0.786,0.78152,0.77605,0.57693,0.89122,0.78197,1.047,0.006931,0.006931,0.006931
64,4044.82,0.85572,0.67375,1.1185,0.77524,0.78403,0.77679,0.57291,0.91068,0.78705,1.05549,0.0068815,0.0068815,0.0068815
65,4106.3,0.85262,0.67173,1.11794,0.77439,0.77647,0.77401,0.57242,0.90181,0.79096,1.05237,0.006832,0.006832,0.006832
66,4167.41,0.85178,0.66966,1.11651,0.7764,0.77605,0.77672,0.57576,0.89805,0.77949,1.04587,0.0067825,0.0067825,0.0067825
67,4229.41,0.8518,0.668,1.11116,0.7753,0.77548,0.77703,0.57699,0.90369,0.79159,1.05409,0.006733,0.006733,0.006733
68,4291.43,0.85038,0.65759,1.11464,0.77699,0.77232,0.7721,0.57403,0.89112,0.79138,1.04623,0.0066835,0.0066835,0.0066835
69,4365.62,0.84641,0.65907,1.11319,0.78227,0.77566,0.77775,0.57653,0.8995,0.78614,1.05363,0.006634,0.006634,0.006634
70,4435.7,0.84316,0.65647,1.10976,0.77436,0.7857,0.77905,0.57865,0.89818,0.79559,1.04326,0.0065845,0.0065845,0.0065845
71,4523.37,0.84641,0.66228,1.11296,0.7638,0.78361,0.77314,0.57424,0.89736,0.79723,1.05619,0.006535,0.006535,0.006535
72,4586.26,0.84189,0.65811,1.11115,0.78251,0.77102,0.77654,0.57601,0.90086,0.79299,1.05501,0.0064855,0.0064855,0.0064855
73,4652.86,0.84,0.65455,1.10803,0.77239,0.78486,0.77599,0.57747,0.8945,0.79112,1.04743,0.006436,0.006436,0.006436
74,4731.13,0.83252,0.64132,1.10444,0.77775,0.77462,0.76917,0.57098,0.90552,0.80956,1.0534,0.0063865,0.0063865,0.0063865
75,4797.65,0.83791,0.65235,1.11193,0.77308,0.77587,0.77525,0.57567,0.89807,0.80121,1.0564,0.006337,0.006337,0.006337
76,4868.04,0.83174,0.64545,1.10769,0.7752,0.77288,0.77522,0.57651,0.90391,0.80183,1.06136,0.0062875,0.0062875,0.0062875
77,4935.08,0.83181,0.63628,1.10262,0.77147,0.77441,0.77344,0.57324,0.90225,0.80118,1.06289,0.006238,0.006238,0.006238
78,5001.46,0.82802,0.63578,1.09857,0.76765,0.77086,0.76894,0.57077,0.90584,0.80278,1.06024,0.0061885,0.0061885,0.0061885
79,5064.83,0.82835,0.63556,1.10067,0.77126,0.78047,0.77106,0.57197,0.90409,0.79549,1.06127,0.006139,0.006139,0.006139
80,5127.3,0.82838,0.63239,1.10214,0.76952,0.77838,0.77217,0.57238,0.9096,0.80549,1.06016,0.0060895,0.0060895,0.0060895
81,5191.75,0.82691,0.63931,1.10491,0.76632,0.78435,0.76824,0.57023,0.90242,0.80146,1.05403,0.00604,0.00604,0.00604
82,5254.63,0.82342,0.62902,1.09955,0.76862,0.76751,0.76762,0.56496,0.91239,0.81043,1.06308,0.0059905,0.0059905,0.0059905
83,5317.43,0.82122,0.62493,1.09664,0.76707,0.78422,0.77314,0.57045,0.90898,0.80529,1.05907,0.005941,0.005941,0.005941
84,5390.93,0.82086,0.63009,1.09902,0.76944,0.77504,0.78013,0.57629,0.90342,0.80142,1.0533,0.0058915,0.0058915,0.0058915
85,5462.68,0.81898,0.62372,1.09964,0.76567,0.76939,0.77273,0.57226,0.89998,0.80935,1.05659,0.005842,0.005842,0.005842
86,5536.18,0.81373,0.62165,1.09258,0.76302,0.76814,0.76736,0.56711,0.90947,0.81741,1.05896,0.0057925,0.0057925,0.0057925
87,5619.61,0.81637,0.62118,1.09793,0.76311,0.76856,0.76416,0.56387,0.90741,0.81797,1.05643,0.005743,0.005743,0.005743
88,5703.76,0.81592,0.62211,1.09509,0.7681,0.77211,0.76726,0.56622,0.90572,0.81427,1.06167,0.0056935,0.0056935,0.0056935
89,5776.71,0.81421,0.61765,1.0938,0.77524,0.76584,0.76641,0.56696,0.90731,0.80831,1.05828,0.005644,0.005644,0.005644
90,5848.37,0.81228,0.60737,1.09052,0.77938,0.75486,0.76372,0.56184,0.91274,0.81689,1.06347,0.0055945,0.0055945,0.0055945
91,5920.5,0.80919,0.60772,1.09109,0.76719,0.77029,0.76393,0.56328,0.90995,0.81817,1.05963,0.005545,0.005545,0.005545
92,5992.92,0.81211,0.617,1.09712,0.76846,0.76746,0.76728,0.56476,0.91128,0.82191,1.06347,0.0054955,0.0054955,0.0054955
93,6065.89,0.80152,0.60289,1.08706,0.76723,0.77044,0.7641,0.56202,0.91048,0.81521,1.06219,0.005446,0.005446,0.005446
94,6137.4,0.80128,0.60779,1.08671,0.76608,0.76824,0.75974,0.55917,0.91309,0.82758,1.06205,0.0053965,0.0053965,0.0053965
95,6209.84,0.80208,0.60012,1.08691,0.77035,0.77378,0.7663,0.56387,0.91601,0.82048,1.06156,0.005347,0.005347,0.005347
96,6282.02,0.80193,0.6053,1.08527,0.76675,0.77817,0.76619,0.56527,0.90985,0.81551,1.05928,0.0052975,0.0052975,0.0052975
97,6353.81,0.80435,0.60561,1.09067,0.77248,0.76949,0.76466,0.56428,0.91269,0.81798,1.06099,0.005248,0.005248,0.005248
98,6425.76,0.7971,0.60035,1.08649,0.78184,0.76351,0.76364,0.5633,0.91217,0.81621,1.05927,0.0051985,0.0051985,0.0051985
99,6494.12,0.79993,0.60358,1.08835,0.77727,0.76318,0.76689,0.56451,0.91797,0.8136,1.06358,0.005149,0.005149,0.005149
100,6562.09,0.79374,0.59346,1.08349,0.78254,0.75664,0.76677,0.56399,0.92058,0.81748,1.06819,0.0050995,0.0050995,0.0050995
101,6629.69,0.79295,0.58999,1.08121,0.77203,0.77357,0.76906,0.56576,0.91698,0.8195,1.06387,0.00505,0.00505,0.00505
102,6700.34,0.79263,0.59214,1.07958,0.77763,0.76184,0.76477,0.56337,0.91836,0.82249,1.06292,0.0050005,0.0050005,0.0050005
103,6771.68,0.79136,0.59017,1.08454,0.76761,0.76814,0.76404,0.56381,0.91423,0.82784,1.06307,0.004951,0.004951,0.004951
104,6839.46,0.79135,0.59053,1.08412,0.77406,0.76354,0.7671,0.56536,0.91318,0.82288,1.06544,0.0049015,0.0049015,0.0049015
105,6907.07,0.78872,0.58222,1.07791,0.76419,0.77462,0.76471,0.56515,0.91087,0.82614,1.06683,0.004852,0.004852,0.004852
106,6975.03,0.78711,0.58439,1.07708,0.77119,0.77443,0.76426,0.56331,0.91426,0.82486,1.06926,0.0048025,0.0048025,0.0048025
107,7044.03,0.78728,0.58655,1.08095,0.76797,0.77796,0.76385,0.56413,0.915,0.8209,1.06774,0.004753,0.004753,0.004753
108,7113.09,0.78348,0.57747,1.08043,0.76962,0.77462,0.76497,0.56537,0.91542,0.82454,1.0659,0.0047035,0.0047035,0.0047035
109,7180.55,0.7833,0.57707,1.0776,0.77127,0.76751,0.76191,0.56122,0.92321,0.83413,1.07179,0.004654,0.004654,0.004654
